Order_ID,CustomerID,BranchID,ShipmentDate,ShipmentTime,Weight,Quantity,DeliveryAddress,TransactionID,TrackingNumber,ShipmentStatus,ShipmentComments
1,570,7,30/03/2022,2:08:31,35,1,Room 1032,724,675-42-0648,shipment confirmed,   
2,180,1,13/07/2022,15:11:13,26,2,2nd Floor,142,102-37-7290,shipment confirmed,   
3,12,6,7/10/2022,6:19:40,18,3,3rd Floor,420,173-38-7910,shipment confirmed,   
4,209,14,27/05/2022,22:30:11,100,4,9th Floor,874,873-48-1104,shipment confirmed,   
5,371,18,22/09/2022,16:55:14,83,5,Room 1067,78,322-81-4918,shipment confirmed,   
6,181,2,1/1/2023,9:38:01,30,6,Suite 80,778,199-54-8191,shipment confirmed,   
7,734,17,23/04/2022,9:29:23,96,7,Apt 237,677,228-90-7935,shipment confirmed,   
8,14,9,23/07/2022,0:56:36,79,8,Room 353,781,231-07-3967,shipment confirmed,   
9,278,20,23/01/2023,14:27:16,39,9,Suite 41,272,481-97-6090,shipment confirmed,   
10,748,3,20/05/2022,13:23:39,66,10,Apt 1038,858,539-76-9601,shipment confirmed,   
11,427,8,20/04/2022,0:51:17,17,11,Suite 83,449,166-78-2880,shipment confirmed,   
12,970,4,24/12/2022,15:15:15,35,12,PO Box 79814,1000,805-08-2557,shipment confirmed,   
13,702,10,3/5/2022,11:46:53,28,13,Apt 139,661,651-73-0648,shipment confirmed,   
14,263,5,8/3/2022,17:57:52,88,14,PO Box 86946,313,272-18-4178,shipment confirmed,   
15,329,15,11/8/2022,1:26:11,97,15,PO Box 70752,486,505-23-2534,shipment confirmed,   
16,773,12,12/5/2022,7:05:48,14,16,Room 1831,377,683-05-9373,shipment confirmed,   
17,620,11,27/01/2023,9:23:21,30,17,Room 440,885,730-06-7057,shipment confirmed,   
18,920,19,23/07/2022,7:15:10,32,18,Apt 159,692,446-39-8301,shipment confirmed,   
19,189,16,23/03/2022,12:03:37,46,19,Room 1989,826,503-98-5538,shipment confirmed,   
20,119,13,26/12/2022,7:07:35,28,20,14th Floor,617,634-62-5832,shipment confirmed,   
21,463,4,31/12/2022,14:50:46,68,21,Room 371,713,124-17-4812,shipment confirmed,   
22,112,3,7/10/2022,0:12:48,51,22,2nd Floor,408,788-05-4132,shipment confirmed,   
23,440,13,13/04/2022,22:17:12,34,23,Room 11,99,481-45-7123,shipment confirmed,   
24,290,20,6/11/2022,10:19:04,91,24,Room 147,356,524-56-3115,shipment confirmed,   
25,85,6,24/08/2022,10:27:25,72,25,PO Box 94212,62,752-30-2140,shipment confirmed,   
26,310,9,22/09/2022,5:04:35,99,26,Suite 97,867,811-76-7566,shipment confirmed,   
27,552,15,17/06/2022,12:34:21,40,27,PO Box 33159,97,100-10-7286,shipment confirmed,   
28,736,19,13/01/2023,7:48:07,60,28,Apt 277,440,256-46-8609,shipment confirmed,   
29,541,7,14/11/2022,11:05:29,95,29,PO Box 58023,581,301-26-7534,shipment confirmed,   
30,915,2,23/04/2022,10:14:54,48,30,Apt 1913,478,822-36-3034,shipment confirmed,   
31,846,14,6/8/2022,16:10:10,38,31,14th Floor,580,639-59-8422,shipment confirmed,   
32,367,18,25/09/2022,6:06:11,58,32,Suite 80,647,792-99-7845,shipment confirmed,   
33,852,11,3/9/2022,6:13:02,39,33,2nd Floor,779,691-01-4298,shipment confirmed,   
34,627,12,13/09/2022,12:45:25,89,34,PO Box 25326,626,665-31-4530,shipment confirmed,   
35,305,1,1/9/2022,3:14:32,62,35,15th Floor,485,840-84-5191,shipment confirmed,   
36,603,5,7/12/2022,19:02:44,45,36,Apt 1794,133,316-27-1931,shipment confirmed,   
37,116,16,20/01/2023,9:04:40,80,37,9th Floor,210,223-82-0802,shipment confirmed,   
38,474,10,11/11/2022,1:27:03,38,38,7th Floor,515,241-13-2372,shipment confirmed,   
39,929,17,31/03/2022,8:28:51,80,39,Apt 1804,248,348-16-7578,shipment confirmed,   
40,152,8,24/12/2022,3:44:27,29,40,Apt 1228,863,799-02-1683,shipment confirmed,   
41,856,13,20/01/2023,13:10:42,56,41,Apt 1675,158,245-90-9755,shipment confirmed,   
42,16,16,7/11/2022,4:36:32,77,42,Apt 134,517,894-91-7879,shipment confirmed,   
43,301,20,11/9/2022,10:48:22,24,43,Room 1479,663,741-68-9771,shipment confirmed,   
44,386,12,14/12/2022,19:47:56,55,44,10th Floor,807,545-64-1400,shipment confirmed,   
45,794,1,30/11/2022,20:01:32,25,45,PO Box 924,77,737-43-2817,shipment confirmed,   
46,601,4,25/12/2022,0:01:35,68,46,Apt 527,130,104-76-5451,shipment confirmed,   
47,999,2,8/10/2022,21:02:52,63,47,Suite 5,44,241-66-2120,shipment confirmed,   
48,706,9,8/2/2022,0:04:31,92,48,Suite 93,688,214-21-6776,shipment confirmed,   
49,589,7,23/03/2022,9:52:45,95,49,12th Floor,941,114-90-3802,shipment confirmed,   
50,74,5,1/2/2023,3:46:27,3,50,Suite 22,469,504-43-6154,shipment confirmed,   
51,192,20,9/3/2022,23:31:09,45,51,Suite 43,722,248-25-2577,shipment confirmed,   
52,970,8,5/10/2022,11:53:24,53,52,13th Floor,251,433-54-4830,shipment confirmed,   
53,682,14,19/06/2022,11:59:05,36,53,3rd Floor,644,101-63-5981,shipment confirmed,   
54,56,11,22/02/2022,5:24:22,14,54,Room 1625,61,214-43-7621,shipment confirmed,   
55,294,10,19/02/2022,6:11:29,88,55,3rd Floor,71,709-53-7056,shipment confirmed,   
56,368,3,30/06/2022,18:49:16,45,56,Room 1132,261,726-64-1256,shipment confirmed,   
57,987,17,17/09/2022,14:52:33,75,57,Suite 7,286,277-94-6331,shipment confirmed,   
58,630,9,16/06/2022,9:08:04,27,58,Room 1684,957,499-12-2081,shipment confirmed,   
59,118,13,29/09/2022,13:37:33,84,59,Apt 1234,480,316-42-1745,shipment confirmed,   
60,337,6,8/11/2022,10:23:05,5,60,Room 711,383,312-81-6457,shipment confirmed,   
61,761,2,30/09/2022,3:23:55,45,61,Suite 89,694,245-76-3555,shipment confirmed,   
62,704,12,29/08/2022,23:22:04,100,62,12th Floor,421,346-67-8567,shipment confirmed,   
63,775,4,28/03/2022,2:07:27,100,63,19th Floor,10,622-90-1243,shipment confirmed,   
64,904,5,23/10/2022,13:23:47,31,64,PO Box 54113,582,323-92-0566,shipment confirmed,   
65,867,15,31/12/2022,21:20:51,24,65,Room 260,928,245-52-5782,shipment confirmed,   
66,496,18,7/3/2022,21:12:37,2,66,15th Floor,570,183-67-0411,shipment confirmed,   
67,893,19,3/2/2022,5:33:12,33,67,Apt 1318,908,251-33-2222,shipment confirmed,   
68,2,16,20/01/2023,21:57:40,28,68,Room 1271,2,728-84-7256,shipment confirmed,   
69,92,1,28/09/2022,16:59:42,85,69,Apt 454,149,167-07-2484,shipment confirmed,   
70,897,7,8/7/2022,14:03:40,62,70,Apt 174,279,191-64-8205,shipment confirmed,   
71,586,6,2/1/2023,1:10:06,58,71,PO Box 10046,397,246-09-4153,shipment confirmed,   
72,199,16,5/9/2022,12:47:43,63,72,Room 1812,715,389-88-2362,shipment confirmed,   
73,137,9,6/3/2022,5:05:02,2,73,PO Box 56534,628,178-24-7451,shipment confirmed,   
74,71,14,24/12/2022,6:30:20,1,74,Suite 93,976,895-18-5807,shipment confirmed,   
75,106,5,7/2/2022,13:20:48,47,75,Room 762,347,760-34-2309,shipment confirmed,   
76,267,8,24/05/2022,9:40:54,38,76,Room 1811,451,473-90-1463,shipment confirmed,   
77,621,13,15/09/2022,17:03:11,78,77,Suite 84,719,328-99-6739,shipment confirmed,   
78,862,1,30/07/2022,11:44:28,62,78,PO Box 67155,743,891-79-7719,shipment confirmed,   
79,4,11,21/01/2023,11:17:19,8,79,Room 1265,895,751-83-2687,shipment confirmed,   
80,725,4,9/8/2022,19:16:05,25,80,PO Box 64291,689,591-79-7748,shipment confirmed,   
81,801,18,15/03/2022,22:30:21,24,81,Apt 919,470,407-57-5401,shipment confirmed,   
82,759,10,12/7/2022,14:48:39,100,82,PO Box 93920,15,319-62-0703,shipment confirmed,   
83,965,15,23/04/2022,20:57:48,46,83,Apt 1151,291,642-83-4698,shipment confirmed,   
84,560,17,4/7/2022,22:15:41,66,84,1st Floor,148,891-10-8571,shipment confirmed,   
85,467,2,31/03/2022,2:35:32,6,85,4th Floor,56,604-55-1887,shipment confirmed,   
86,493,7,11/2/2022,20:53:47,100,86,13th Floor,18,629-55-7532,shipment confirmed,   
87,956,3,18/04/2022,20:27:47,45,87,18th Floor,158,216-22-9258,shipment confirmed,   
88,871,12,6/7/2022,23:38:34,97,88,Apt 1756,344,545-82-4765,shipment confirmed,   
89,765,19,15/11/2022,6:26:40,81,89,Apt 298,101,376-61-5983,shipment confirmed,   
90,959,20,3/8/2022,4:03:51,92,90,17th Floor,114,797-71-7758,shipment confirmed,   
91,177,15,1/2/2023,16:33:43,47,91,Room 1551,312,287-92-6323,shipment confirmed,   
92,612,7,28/11/2022,22:53:42,95,92,Room 198,617,853-85-6228,shipment confirmed,   
93,890,4,1/9/2022,16:27:53,53,93,Suite 48,547,119-69-2686,shipment confirmed,   
94,188,14,3/11/2022,12:19:52,11,94,1st Floor,411,739-40-6353,shipment confirmed,   
95,817,13,13/05/2022,17:22:26,80,95,Apt 1895,211,253-86-9849,shipment confirmed,   
96,697,9,14/10/2022,12:19:59,39,96,Suite 15,762,858-44-3197,shipment confirmed,   
97,861,17,11/1/2023,10:05:11,24,97,Apt 1882,322,454-75-5100,shipment confirmed,   
98,264,11,9/2/2022,13:56:57,55,98,Room 1958,577,868-71-6265,shipment confirmed,   
99,98,19,8/7/2022,8:41:40,55,99,PO Box 73413,453,100-27-4237,shipment confirmed,   
100,187,12,14/06/2022,7:20:59,76,100,Apt 1138,152,276-77-2742,shipment confirmed,   
101,95,16,7/6/2022,12:16:40,2,101,Apt 1765,751,764-21-0728,shipment confirmed,   
102,978,20,10/2/2022,14:05:33,78,102,3rd Floor,663,353-53-9789,shipment confirmed,   
103,708,13,12/8/2022,20:28:17,75,103,Suite 8,443,857-68-6780,shipment confirmed,   
104,685,9,10/2/2022,23:47:40,79,104,6th Floor,654,571-99-0448,shipment confirmed,   
105,754,5,9/2/2022,10:22:05,78,105,Room 866,825,174-91-2996,shipment confirmed,   
106,907,18,29/11/2022,4:36:56,80,106,Apt 883,392,728-25-5164,shipment confirmed,   
107,749,7,10/3/2022,9:03:51,38,107,Apt 114,444,291-27-6755,shipment confirmed,   
108,576,1,19/06/2022,15:23:13,18,108,Room 175,498,464-85-2436,shipment confirmed,   
109,3,8,4/9/2022,7:37:50,43,109,Room 1186,327,453-86-8332,shipment confirmed,   
110,466,11,30/09/2022,9:51:51,55,110,9th Floor,106,649-68-1790,shipment confirmed,   
111,725,14,4/8/2022,9:50:25,58,111,Apt 1571,575,351-84-7843,shipment confirmed,   
112,195,15,5/11/2022,0:59:21,75,112,PO Box 9745,448,675-22-7031,shipment confirmed,   
113,10,17,14/01/2023,3:49:13,57,113,Room 1123,157,272-11-0307,shipment confirmed,   
114,692,3,10/12/2022,16:37:16,58,114,PO Box 35621,786,357-50-5153,shipment confirmed,   
115,816,2,12/12/2022,0:50:26,24,115,Apt 309,704,505-70-7668,shipment confirmed,   
116,226,10,5/12/2022,2:16:37,27,116,11th Floor,537,247-95-7829,shipment confirmed,   
117,739,4,23/10/2022,14:44:13,72,117,12th Floor,675,898-78-6607,shipment confirmed,   
118,939,12,25/08/2022,7:32:34,24,118,PO Box 50866,638,487-89-9722,shipment confirmed,   
119,271,19,31/01/2023,22:05:34,96,119,Room 327,541,200-14-0524,shipment confirmed,   
120,178,6,15/12/2022,6:36:15,66,120,4th Floor,342,226-76-4821,shipment confirmed,   
121,909,18,22/01/2023,14:37:18,13,121,Room 1134,934,126-53-2133,shipment confirmed,   
122,597,4,21/09/2022,5:25:45,69,122,Suite 31,22,169-32-5614,shipment confirmed,   
123,943,5,23/09/2022,3:48:39,25,123,Apt 1448,460,831-63-3975,shipment confirmed,   
124,402,6,17/06/2022,12:47:18,58,124,PO Box 71766,982,632-89-8117,shipment confirmed,   
125,881,12,3/6/2022,22:43:17,17,125,Apt 1864,542,336-88-2987,shipment confirmed,   
126,6,2,5/5/2022,14:58:16,97,126,Apt 54,551,748-05-0655,shipment confirmed,   
127,958,9,13/10/2022,10:35:08,48,127,Apt 1960,292,174-83-6069,shipment confirmed,   
128,829,3,11/10/2022,6:15:40,74,128,12th Floor,495,531-26-6120,shipment confirmed,   
129,346,10,23/12/2022,13:46:53,59,129,Suite 6,338,824-66-3904,shipment confirmed,   
130,766,19,29/06/2022,18:49:21,59,130,5th Floor,994,555-90-6616,shipment confirmed,   
131,168,17,7/2/2022,17:48:40,89,131,Room 1979,957,423-87-0619,shipment confirmed,   
132,420,7,18/01/2023,11:20:51,72,132,Suite 26,646,730-77-9751,shipment confirmed,   
133,656,14,11/5/2022,0:24:26,84,133,14th Floor,301,158-46-9565,shipment confirmed,   
134,296,15,1/5/2022,23:53:36,86,134,Suite 56,386,593-57-1122,shipment confirmed,   
135,304,1,26/11/2022,0:30:33,88,135,Suite 29,652,483-71-0627,shipment confirmed,   
136,701,20,22/10/2022,4:16:27,79,136,Room 674,364,663-93-1625,shipment confirmed,   
137,879,8,9/5/2022,2:21:04,46,137,Apt 202,947,226-97-2062,shipment confirmed,   
138,182,11,22/03/2022,11:41:02,8,138,Suite 70,835,277-77-4862,shipment confirmed,   
139,581,13,21/09/2022,23:15:06,88,139,Suite 47,267,607-95-6834,shipment confirmed,   
140,657,16,30/07/2022,9:14:12,33,140,7th Floor,560,665-04-4694,shipment confirmed,   
141,223,11,22/12/2022,3:40:59,50,141,Suite 25,767,799-30-0991,shipment confirmed,   
142,561,5,4/7/2022,8:21:10,43,142,Apt 157,581,274-18-6120,shipment confirmed,   
143,572,13,5/12/2022,4:51:00,86,143,Suite 6,397,241-28-8987,shipment confirmed,   
144,583,2,9/4/2022,5:11:00,56,144,Room 791,354,826-82-0573,shipment confirmed,   
145,90,3,16/02/2022,2:56:54,66,145,6th Floor,368,174-73-7273,shipment confirmed,   
146,380,4,14/02/2022,21:29:55,59,146,PO Box 82952,770,603-84-8747,shipment confirmed,   
147,287,6,23/06/2022,22:01:24,43,147,PO Box 69803,936,784-09-1528,shipment confirmed,   
148,498,7,22/06/2022,21:53:12,64,148,Suite 59,136,722-15-2844,shipment confirmed,   
149,92,10,31/08/2022,23:07:42,10,149,Suite 10,647,437-11-0203,shipment confirmed,   
150,985,14,17/06/2022,22:57:25,11,150,3rd Floor,466,832-56-2282,shipment confirmed,   
151,605,4,23/11/2022,4:24:05,83,151,Room 1041,46,253-81-7938,shipment confirmed,   
152,899,13,1/12/2022,19:44:39,99,152,PO Box 45393,918,541-86-5866,shipment confirmed,   
153,718,5,19/03/2022,12:44:18,9,153,PO Box 81562,794,466-20-4896,shipment confirmed,   
154,679,17,15/04/2022,20:43:24,47,154,Suite 24,32,330-21-5489,shipment confirmed,   
155,53,8,27/04/2022,14:26:00,94,155,PO Box 53336,551,312-99-4427,shipment confirmed,   
156,78,6,26/06/2022,6:27:52,97,156,PO Box 12691,530,422-06-4000,shipment confirmed,   
157,147,2,15/09/2022,10:02:03,70,157,Apt 8,706,409-50-7063,shipment confirmed,   
158,911,7,4/1/2023,18:59:08,63,158,2nd Floor,357,252-89-0540,shipment confirmed,   
159,125,10,28/10/2022,18:31:52,45,159,Suite 7,91,818-03-2916,shipment confirmed,   
160,766,15,4/5/2022,3:36:04,51,160,Room 1711,139,350-05-0985,shipment confirmed,   
161,618,9,10/10/2022,12:05:54,71,161,Room 998,150,251-12-1142,shipment confirmed,   
162,182,20,21/03/2022,4:27:27,41,162,Apt 1164,473,551-67-9623,shipment confirmed,   
163,969,16,13/06/2022,21:51:59,30,163,PO Box 9453,131,178-85-2331,shipment confirmed,   
164,453,11,25/02/2022,16:21:50,11,164,PO Box 27758,686,140-12-2979,shipment confirmed,   
165,209,12,14/02/2022,6:03:35,22,165,PO Box 57464,101,587-95-3675,shipment confirmed,   
166,916,18,26/12/2022,4:34:03,91,166,PO Box 83619,583,490-84-1306,shipment confirmed,   
167,599,3,9/10/2022,2:06:02,25,167,PO Box 45825,29,526-49-8710,shipment confirmed,   
168,228,14,27/09/2022,7:38:15,17,168,Apt 82,36,561-55-7966,shipment confirmed,   
169,935,19,13/07/2022,22:54:16,50,169,Room 792,498,249-16-9348,shipment confirmed,   
170,627,1,25/07/2022,0:40:03,98,170,11th Floor,41,889-97-6085,shipment confirmed,   
171,226,18,12/1/2023,14:33:05,43,171,Apt 1525,944,863-78-7762,shipment confirmed,   
172,159,2,24/04/2022,5:36:37,35,172,PO Box 51139,950,876-97-7062,shipment confirmed,   
173,549,20,30/04/2022,8:50:13,45,173,Suite 99,624,435-41-6746,shipment confirmed,   
174,700,16,11/12/2022,9:33:13,48,174,Room 886,865,280-16-5352,shipment confirmed,   
175,108,10,19/06/2022,4:21:55,33,175,PO Box 78099,469,606-71-7172,shipment confirmed,   
176,761,19,24/05/2022,15:15:21,37,176,Room 27,149,413-03-0453,shipment confirmed,   
177,106,6,4/4/2022,6:15:19,44,177,Apt 1972,462,705-48-1636,shipment confirmed,   
178,279,5,3/2/2022,3:24:51,46,178,Suite 79,676,191-87-6394,shipment confirmed,   
179,407,9,9/8/2022,21:38:19,78,179,Suite 17,200,181-84-7897,shipment confirmed,   
180,309,14,30/09/2022,6:16:53,60,180,PO Box 43137,440,867-38-3512,shipment confirmed,   
181,608,8,27/02/2022,18:06:39,96,181,Suite 98,50,379-54-8301,shipment confirmed,   
182,134,11,16/11/2022,14:30:53,51,182,Apt 979,211,504-65-4127,shipment confirmed,   
183,698,13,2/1/2023,14:01:51,14,183,Room 1571,505,875-46-9525,shipment confirmed,   
184,907,12,21/11/2022,3:32:08,27,184,Room 718,641,846-79-1819,shipment confirmed,   
185,253,7,26/04/2022,4:30:16,40,185,Room 1903,382,535-85-5550,shipment confirmed,   
186,161,3,14/04/2022,10:22:56,31,186,Room 1468,477,558-48-4904,shipment confirmed,   
187,805,15,22/06/2022,9:11:07,90,187,Room 951,764,337-07-9471,shipment confirmed,   
188,113,4,10/10/2022,3:26:06,49,188,15th Floor,939,347-42-7137,shipment confirmed,   
189,738,1,20/03/2022,2:52:08,82,189,PO Box 28264,949,477-73-1315,shipment confirmed,   
190,487,17,3/7/2022,23:26:25,68,190,3rd Floor,783,186-64-5339,shipment confirmed,   
191,355,19,5/10/2022,4:27:37,21,191,PO Box 44719,435,202-24-5917,shipment confirmed,   
192,875,16,10/8/2022,7:56:53,99,192,Room 655,34,836-31-2817,shipment confirmed,   
193,191,4,25/06/2022,15:09:28,4,193,Suite 45,138,403-02-9101,shipment confirmed,   
194,376,13,20/04/2022,10:14:38,73,194,Suite 29,478,459-87-8625,shipment confirmed,   
195,694,7,2/11/2022,15:30:24,17,195,Apt 1826,628,849-18-2979,shipment confirmed,   
196,135,18,15/01/2023,23:38:38,92,196,PO Box 8721,175,715-81-2349,shipment confirmed,   
197,507,1,26/05/2022,16:32:44,67,197,PO Box 13346,108,303-32-7123,shipment confirmed,   
198,821,12,14/03/2022,23:54:37,23,198,12th Floor,860,642-90-7158,shipment confirmed,   
199,960,11,17/12/2022,13:00:01,47,199,16th Floor,680,523-03-1463,shipment confirmed,   
200,555,14,22/05/2022,18:28:04,47,200,Room 1082,125,117-16-0876,shipment confirmed,   
201,824,7,26/08/2022,18:35:06,63,201,Room 1734,178,153-85-6200,shipment confirmed,   
202,233,2,12/8/2022,8:51:43,7,202,Suite 68,788,787-03-9200,shipment confirmed,   
203,657,15,14/04/2022,16:03:31,85,203,PO Box 7843,918,516-20-9100,shipment confirmed,   
204,16,16,17/06/2022,23:40:19,40,204,Suite 54,615,657-99-8135,shipment confirmed,   
205,577,20,14/04/2022,17:59:04,23,205,Suite 58,854,778-99-4371,shipment confirmed,   
206,301,19,16/01/2023,11:22:54,79,206,20th Floor,50,348-20-3147,shipment confirmed,   
207,355,18,30/08/2022,15:10:49,89,207,Room 836,960,752-34-0975,shipment confirmed,   
208,554,8,6/1/2023,2:30:52,10,208,Room 384,1,240-98-1967,shipment confirmed,   
209,46,12,29/05/2022,15:41:54,65,209,9th Floor,644,782-98-9182,shipment confirmed,   
210,721,17,26/12/2022,2:57:58,25,210,PO Box 72673,665,245-67-1137,shipment confirmed,   
211,884,10,1/5/2022,1:32:32,32,211,Apt 361,36,403-94-0636,shipment confirmed,   
212,598,6,7/8/2022,23:02:40,27,212,Suite 44,879,690-21-3404,shipment confirmed,   
213,505,5,7/12/2022,18:56:44,27,213,17th Floor,47,306-80-4914,shipment confirmed,   
214,596,3,16/09/2022,6:25:50,82,214,Suite 30,668,300-88-1898,shipment confirmed,   
215,821,1,14/07/2022,4:53:56,26,215,4th Floor,260,122-24-1514,shipment confirmed,   
216,41,11,23/05/2022,3:49:10,33,216,Room 1816,605,394-64-0383,shipment confirmed,   
217,431,9,14/06/2022,6:30:26,89,217,Apt 538,742,498-15-4345,shipment confirmed,   
218,247,14,12/12/2022,13:35:13,40,218,Apt 1340,323,550-07-3325,shipment confirmed,   
219,344,13,22/01/2023,19:35:15,94,219,PO Box 96807,642,553-50-0688,shipment confirmed,   
220,818,4,3/5/2022,8:24:57,72,220,Suite 95,972,721-25-5864,shipment confirmed,   
221,759,4,8/12/2022,4:29:00,74,221,Apt 1403,284,831-66-3190,shipment confirmed,   
222,471,13,26/02/2022,16:54:39,72,222,PO Box 96342,269,252-18-5635,shipment confirmed,   
223,797,3,22/10/2022,9:36:33,60,223,PO Box 41015,315,707-03-1957,shipment confirmed,   
